일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000007898,경산소방서 경산 자인 지상 01,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 서부리 12-16 ,35.82042313,128.8228912
1000004078,경산소방서 경산 자인 지상 02,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 서부리 21-1 ,35.8193512,128.8228607
1000004079,경산소방서 경산 자인 지상 03,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 동부리 49 ,35.82043076,128.8253174
1000004080,경산소방서 경산 자인 지상 04,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 서부리 100-9 ,35.81747055,128.8208771
1000004081,경산소방서 경산 자인 지상 05,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 서부리 737-11,35.81617737,128.8238373
1000004082,경산소방서 경산 자인 지상 06,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 동부리 162-3 ,35.81800079,128.8249207
1000007899,경산소방서 경산 자인 지상 07,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 동부리 150-4 ,35.81615829,128.825943
1000004084,경산소방서 경산 자인 지상 08,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 265-1 ,35.82180786,128.8200073
1000004085,경산소방서 경산 자인 지상 09,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 남촌리 164-2 ,35.82954407,128.8174591
1000004086,경산소방서 경산 자인 지상 10,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 남촌리 84-1 ,35.82987976,128.8191223
1000004087,경산소방서 경산 자인 지상 11,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 계남리 364-5 ,35.80853653,128.8109131
1000018639,경산소방서 경산 자인 지상 12,소화용수시설 소화전(지상식),사용가,경산북도 경산시 자인면 서부리 246-1,35.81658936,128.8236542
1000018640,경산소방서 경산 자인 지상 13,소화용수시설 소화전(지상식),사용가,경산북도 경산시 자인면 서부리  254-1,35.81703949,128.8232269
1000007902,경산소방서 경산 자인 지상 14,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1100,35.82513809,128.8205566
1000004093,경산소방서 경산 자인 지상 15,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1085-3 ,35.82686234,128.8178253
1000004094,경산소방서 경산 자인 지상 16,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1087-1,35.82613754,128.8202515
1000004095,경산소방서 경산 자인 지상 17,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1086-6 ,35.82778168,128.8220215
1000007903,경산소방서 경산 자인 지상 18,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 377-3,35.82875061,128.8232269
1000004097,경산소방서 경산 자인 지상 19,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 378-2,35.82881165,128.8257904
1000007904,경산소방서 경산 자인 지상 20,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 378-6,35.82804489,128.8246307
1000004099,경산소방서 경산 자인 지상 21,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 379-2 ,35.8273735,128.8255005
1000004100,경산소방서 경산 자인 지상 22,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 380-3 ,35.82711792,128.8236847
1000007905,경산소방서 경산 자인 지상 23,소화용수시설 소화전(지상식),사용가,경북 경산시 자인면 교촌리 380-8,35.82622147,128.8235474
1000007906,경산소방서 경산 자인 지상 24,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 379-5 ,35.82592392,128.8254395
1000007907,경산소방서 경산 자인 지상 25,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 385,35.82403183,128.826416
1000007908,경산소방서 경산 자인 지상 26,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 381-18 ,35.82365036,128.8249969
1000004105,경산소방서 경산 자인 지상 27,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 381-10 ,35.82439041,128.8236542
1000007909,경산소방서 경산 자인 지상 28,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 교촌리 381-4 ,35.82527161,128.8233643
1000004107,경산소방서 경산 자인 지상 29,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1087-7 ,35.82571793,128.8220825
1000004108,경산소방서 경산 자인 지상 30,소화용수시설 소화전(지상식),사용가,경상북도 경산시 자인면 북사리 1092-6 ,35.82463074,128.8224792
1000004109,경산소방서 경산 자인 지상 31,소화용수시설 소화전(지상식),사용가,경상북도 경산시 용성면 당리리 161 ,35.79306412,128.8734283
1000004110,경산소방서 경산 자인 지상 32,소화용수시설 소화전(지상식),사용가,경상북도 경산시 용성면 당리리 67-2 ,35.79460144,128.8753357
1000004111,경산소방서 경산 자인 지상 33,소화용수시설 소화전(지상식),사용가,경상북도 경산시 용성면 당리리 205,35.79297638,128.875824
