연번,소속,안전센터,지역대,차량번호,위도,경도
1,소방본부,소방장비관리센터,,998주8444,,
2,소방본부,소방장비관리센터,,998오3019,,
3,소방본부,소방장비관리센터,,998러2530,,
4,소방본부,소방장비관리센터,,998러9849,,
5,소방학교,교육훈련과,,998노8127,,
6,소방학교,교육훈련과,,998주8415,,
7,소방학교,교육훈련과,,998가9620,,
8,포항북부소방서,119구조구급센터,,998누3011,,
9,포항북부소방서,119구조구급센터,,998누3094,,
10,포항북부소방서,두호119안전센터,,998누3033,,
11,포항북부소방서,흥해119안전센터,,998누3062,,
12,포항북부소방서,장량119안전센터,,998누3022,,
13,포항북부소방서,기계119안전센터,,998누3093,,
14,포항북부소방서,청하119안전센터,,998누3041,,
15,포항남부소방서,119구조구급센터,,998누3040,,
16,포항남부소방서,해도119안전센터,,998도3886,,
17,포항남부소방서,해도119안전센터,,998누3039,,
18,포항남부소방서,제철119안전센터,,998도3835,,
19,포항남부소방서,연일119안전센터,,998누3014,,
20,포항남부소방서,효자119안전센터,,998도3855,,
21,포항남부소방서,오천119안전센터,,998누3046,,
22,포항남부소방서,오천119안전센터,장기119지역대,998누3089,,
23,포항남부소방서,구룡포119안전센터,,998누3048,,
24,포항남부소방서,울릉119안전센터,,998누3085,,
25,포항남부소방서,울릉119안전센터,북면119지역대,998누3004,,
26,경주소방서,119구조구급센터,,998가5842,,
27,경주소방서,동부119안전센터,,998가5858,,
28,경주소방서,불국사119안전센터,,998가5833,,
29,경주소방서,보문119안전센터,,998가5856,,
30,경주소방서,용황119안전센터,,998가5823,,
31,경주소방서,안강119안전센터,,998가5864,,
32,경주소방서,안강119안전센터,양동119지역대,998가5880,,
33,경주소방서,외동119안전센터,,998가5884,,
34,경주소방서,감포119안전센터,,998가5854,,
35,경주소방서,감포119안전센터,양남119지역대,998가5826,,
36,경주소방서,감포119안전센터,문무대왕119지역대,998가5881,,
37,경주소방서,건천119안전센터,,998가5855,,
38,경주소방서,건천119안전센터,서면119지역대,998가5878,,
