대지위치,사용승인일,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인일(년도),위도,경도,건물연차점수,지상층수_점수,지하층수_점수,비상용승강기_점수,주용도_점수,구조코드_점수,소화전거리,소방서거리,소화전거리_점수,소방관서거리_점수,total_score
경상북도 영천시 조교동 7번지,20201230,1,0,3.6,경량철골구조,경량철골구조,단독주택,0,2020,35.97674844,128.9649344,1,0,0,5,2,2,173.6362056,630.0501333,5,1,16
경상북도 영천시 조교동 10번지,20140708,1,0,5.8,경량철골구조,경량철골구조,창고시설,0,2014,35.97626363,128.9656569,2,0,0,5,8,2,254.8346273,706.2791171,5,1,23
경상북도 영천시 조교동 24번지,20151008,1,0,5.3,경량철골구조,경량철골구조,단독주택,0,2015,35.97531826,128.9655562,1,0,0,5,2,2,340.4953807,733.3257715,5,1,16
경상북도 영천시 조교동 25-6번지,20080125,1,0,6.2,일반철골구조,일반철골구조,창고시설,0,2008,35.97513917,128.9661691,2,0,0,5,8,2,384.2533363,791.8353636,5,1,23
경상북도 영천시 조교동 26-8번지,20240426,1,0,4.2,철근콘크리트구조,철근콘크리트구조,단독주택,0,2024,35.97513308,128.9658533,1,0,0,5,2,0,370.8396884,766.1447405,5,1,14
경상북도 영천시 조교동 32-2번지,19960501,1,0,0,블록구조,조적(블럭)조,제2종근린생활시설,0,1996,35.97679958,128.9615074,3,0,0,5,6,4,261.8972279,333.5269879,5,1,24
경상북도 영천시 조교동 43-5번지,19690211,1,0,3.4,벽돌구조,흙벽돌/목구조,창고시설,0,1969,35.97294629,128.9661709,5,0,0,5,8,4,605.8875461,916.9291695,5,1,28
경상북도 영천시 조교동 45-1번지,20221129,1,0,5.35,일반목구조,일반목구조,단독주택,0,2022,35.97180429,128.965686,1,0,0,5,2,5,716.1354412,968.2788612,5,1,19
경상북도 영천시 조교동 58-2번지,1950,1,0,0,일반목구조,목조,단독주택,0,1950,35.96679209,128.9610826,5,0,0,5,2,5,680.0651733,1272.664521,5,2,24
경상북도 영천시 조교동 58-6번지,19950125,1,0,6,블록구조,조적조(블록),창고시설,0,1995,35.96679551,128.960813,3,0,0,5,8,4,658.2856733,1267.396612,5,2,27
