대지위치,위도,경도,total_score
경상북도 영천시 야사동 214번지,35.97076561,128.946097,305
경상북도 영천시 창구동 90-11번지,35.96793346,128.9312477,325
경상북도 영천시 성내동 132번지,35.96471899,128.9273234,345
경상북도 영천시 도동 185-6번지,35.94381669,128.9356037,305
경상북도 영천시 금노동 62-1번지,35.9533888,128.9474403,305
경상북도 영천시 금노동 618-137번지,35.95487832,128.9243974,340
경상북도 영천시 완산동 962-8번지,35.96495806,128.9412269,310
경상북도 영천시 괴연동 539-2번지,35.90345008,128.9588985,310
경상북도 영천시 대전동 651번지,35.98051907,128.9138502,320
경상북도 영천시 오미동 421번지,35.98435494,128.9365638,305
경상북도 영천시 오수동 164-6번지,35.96008308,128.9168873,300
경상북도 영천시 오수동 266-5번지,35.95712276,128.9152567,320
경상북도 영천시 도남동 54-1번지,35.93356023,128.9382493,310
경상북도 영천시 서산동 523번지,35.98111679,128.8941629,300
경상북도 영천시 서산동 523번지,35.98111679,128.8941629,300
경상북도 영천시 금호읍 교대리 107-7번지,35.93335429,128.8782815,350
경상북도 영천시 금호읍 대미리 198-1번지,35.95569286,128.883386,315
경상북도 영천시 금호읍 원제리 558-1번지,35.94322325,128.8966115,315
경상북도 영천시 금호읍 냉천리 226-3번지,35.93299044,128.8857791,330
경상북도 영천시 금호읍 냉천리 251-1번지,35.93235173,128.8806814,330
경상북도 영천시 금호읍 냉천리 377번지,35.9340513,128.8850675,310
경상북도 영천시 금호읍 냉천리 385번지,35.93379688,128.8853743,310
경상북도 영천시 금호읍 냉천리 696-10번지,35.93265951,128.8777431,350
경상북도 영천시 금호읍 구암리 428번지,35.91782366,128.9398032,310
경상북도 영천시 금호읍 남성리 276번지,35.90202307,128.8706354,305
경상북도 영천시 금호읍 황정리 44-1번지,35.92520609,128.9204148,310
경상북도 영천시 청통면 호당리 242번지,35.99111016,128.8893008,304
경상북도 영천시 청통면 호당리 558-2번지,35.99488056,128.8939166,330
경상북도 영천시 청통면 송천리 197-3번지,35.97683445,128.8228415,340
경상북도 영천시 청통면 송천리 197-3번지,35.97683445,128.8228415,340
경상북도 영천시 청통면 치일리 480-2번지,35.99174144,128.7906006,305
경상북도 영천시 신녕면 치산리 1055번지,36.05734042,128.7141208,305
경상북도 영천시 신녕면 치산리 1179번지,36.05768115,128.7162723,330
경상북도 영천시 신녕면 치산리 1436-1번지,36.04616482,128.7120501,340
경상북도 영천시 신녕면 부산리 127번지,36.05921773,128.754079,310
경상북도 영천시 신녕면 화남리 264-1번지,36.06474616,128.7678853,305
경상북도 영천시 신녕면 화남리 264-1번지,36.06474616,128.7678853,305
경상북도 영천시 신녕면 화남리 264-1번지,36.06474616,128.7678853,305
경상북도 영천시 신녕면 화남리 264-1번지,36.06474616,128.7678853,305
경상북도 영천시 신녕면 화남리 264-1번지,36.06474616,128.7678853,305
경상북도 영천시 신녕면 왕산리 861-1번지,36.04822112,128.7620048,340
경상북도 영천시 신녕면 완전리 397번지,36.03001977,128.8004435,305
경상북도 영천시 신녕면 완전리 397번지,36.03001977,128.8004435,305
경상북도 영천시 신녕면 완전리 852-129번지,36.03951369,128.7886144,340
경상북도 영천시 화산면 연계리 196번지,36.02210341,128.846682,305
경상북도 영천시 화산면 당지리 93번지,36.05781869,128.8398349,330
경상북도 영천시 화산면 당지리 103번지,36.05740755,128.8400623,330
경상북도 영천시 화산면 화산리 168-1번지,36.04473924,128.8678901,310
