대지위치,위도,경도
경상북도 영천시 조교동 7번지,35.97674844,128.96493438
경상북도 영천시 조교동 10번지,35.97626363,128.96565689
경상북도 영천시 조교동 24번지,35.97531826,128.96555617
경상북도 영천시 조교동 25-6번지,35.97513917,128.96616908
경상북도 영천시 조교동 26-8번지,35.97513308,128.96585333
경상북도 영천시 조교동 32-2번지,35.97679958,128.96150741
경상북도 영천시 조교동 43-5번지,35.97294629,128.96617088
경상북도 영천시 조교동 45-1번지,35.97180429,128.96568596
경상북도 영천시 조교동 58-2번지,35.96679209,128.96108263
경상북도 영천시 조교동 58-6번지,35.96679551,128.96081304
경상북도 영천시 조교동 58-7번지,35.96668886,128.95851607
경상북도 영천시 조교동 58-18번지,35.96655794,128.96007117
경상북도 영천시 조교동 62-5번지,35.9668986,128.96151811
경상북도 영천시 조교동 69번지,35.96887631,128.96352081
경상북도 영천시 조교동 72-2번지,35.96812222,128.96316727
경상북도 영천시 조교동 73-4번지,35.96746963,128.96300934
경상북도 영천시 조교동 76번지,35.96786547,128.96215023
경상북도 영천시 조교동 77번지,35.96796894,128.96190661
경상북도 영천시 조교동 77-1번지,35.96777719,128.96187349
경상북도 영천시 조교동 77-4번지,35.96760733,128.96162609
경상북도 영천시 조교동 79-1번지,35.96845357,128.96138089
경상북도 영천시 조교동 90번지,35.9695914,128.96201704
경상북도 영천시 조교동 98번지,35.97067626,128.96475546
경상북도 영천시 조교동 139-3번지,35.96953698,128.96133953
경상북도 영천시 조교동 180번지,35.97138897,128.95935904
경상북도 영천시 조교동 187번지,35.97070445,128.95968818
경상북도 영천시 조교동 190-3번지,35.97034823,128.95979455
경상북도 영천시 조교동 193-1번지,35.96954268,128.96103485
경상북도 영천시 조교동 193-3번지,35.96976137,128.95970045
경상북도 영천시 조교동 194-5번지,35.96939188,128.95917422
경상북도 영천시 조교동 194-9번지,35.96953082,128.95966527
경상북도 영천시 조교동 194-12번지,35.96926755,128.95884204
경상북도 영천시 조교동 237번지,35.97463419,128.96293016
경상북도 영천시 조교동 238번지,35.97457859,128.96226377
경상북도 영천시 조교동 243번지,35.97467815,128.96402038
