읍면동명,합계_계,합계_남,합계_여,65_계,65_남,65_여,66_계,66_남,66_여,67_계,67_남,67_여,68_계,68_남,68_여,69_계,69_남,69_여,70_계,70_남,70_여,71_계,71_남,71_여,72_계,72_남,72_여,73_계,73_남,73_여,74_계,74_남,74_여,75_계,75_남,75_여,76_계,76_남,76_여,77_계,77_남,77_여,78_계,78_남,78_여,79_계,79_남,79_여,80_계,80_남,80_여,81_계,81_남,81_여,82_계,82_남,82_여,83_계,83_남,83_여,84_계,84_남,84_여,85_계,85_남,85_여,86_계,86_남,86_여,87_계,87_남,87_여,88_계,88_남,88_여,89_계,89_남,89_여,90_계,90_남,90_여,91_계,91_남,91_여,92_계,92_남,92_여,93_계,93_남,93_여,94_계,94_남,94_여,95_계,95_남,95_여,96_계,96_남,96_여,97_계,97_남,97_여,98_계,98_남,98_여,99_계,99_남,99_여,100_계,100_남,100_여,101_계,101_남,101_여,102_계,102_남,102_여,103_계,103_남,103_여,104_계,104_남,104_여,105_계,105_남,105_여,106_계,106_남,106_여,107_계,107_남,107_여,108_계,108_남,108_여,109_계,109_남,109_여,110_계,110_남,110_여,위도,경도
합계,"33,355","14,904","18,451","2,392","1,199","1,193","2,070","1,089",981,"1,903",990,913,"1,981","1,033",948,"1,950",978,972,"1,833",912,921,"1,503",711,792,"1,728",809,919,"1,573",794,779,"1,382",620,762,"1,345",688,657,"1,432",661,771,"1,341",667,674,"1,043",475,568,723,315,408,893,355,538,923,346,577,"1,247",450,797,"1,057",369,688,758,247,511,803,265,538,674,216,458,545,156,389,513,154,359,468,122,346,349,86,263,261,60,201,225,46,179,155,42,113,96,12,84,74,19,55,52,8,44,26,5,21,14,1,13,9,3,6,5,1,4,2,0,2,1,0,1,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,,
금호읍,"4,068","1,865","2,203",283,140,143,263,149,114,224,114,110,250,135,115,249,123,126,215,98,117,167,92,75,227,112,115,171,87,84,161,84,77,155,79,76,175,71,104,155,76,79,122,66,56,99,45,54,120,44,76,134,56,78,157,55,102,152,54,98,102,36,66,94,31,63,86,30,56,67,26,41,59,18,41,52,15,37,38,8,30,26,7,19,23,4,19,9,3,6,11,2,9,7,3,4,8,2,6,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.9333520770174,128.877639955581
청통면,"1,824",838,986,109,57,52,96,52,44,102,65,37,108,57,51,111,62,49,121,62,59,81,36,45,94,44,50,88,38,50,66,31,35,76,40,36,91,50,41,76,42,34,49,24,25,34,18,16,47,17,30,62,27,35,68,23,45,48,19,29,39,10,29,49,10,39,30,10,20,26,7,19,32,11,21,32,10,22,24,7,17,20,1,19,13,1,12,13,6,7,3,0,3,5,0,5,3,0,3,4,0,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.992124269694,128.822997781639
신녕면,"1,775",762,"1,013",109,52,57,95,53,42,95,54,41,98,42,56,120,61,59,96,49,47,72,31,41,93,42,51,80,42,38,58,27,31,76,42,34,73,32,41,64,28,36,53,18,35,35,17,18,57,20,37,61,23,38,83,23,60,61,27,34,44,11,33,44,16,28,39,8,31,31,14,17,26,9,17,20,7,13,32,6,26,11,2,9,19,3,16,10,3,7,10,0,10,5,0,5,3,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.04530305174,128.789747189931
화산면,"1,560",708,852,85,42,43,80,50,30,80,47,33,94,58,36,89,50,39,70,42,28,68,29,39,69,33,36,60,33,27,71,36,35,74,39,35,57,24,33,57,30,27,46,28,18,44,17,27,45,16,29,48,11,37,70,25,45,59,20,39,48,14,34,41,11,30,38,11,27,23,6,17,36,10,26,30,10,20,25,5,20,16,6,10,12,2,10,11,0,11,5,0,5,4,2,2,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.020365911948,128.852296715169
화북면,"1,112",502,610,94,43,51,67,34,33,54,25,29,76,44,32,57,36,21,48,26,22,48,31,17,54,22,32,62,40,22,40,14,26,55,31,24,47,26,21,38,16,22,40,17,23,19,11,8,18,8,10,26,10,16,40,15,25,25,7,18,23,3,20,38,13,25,23,6,17,19,3,16,16,5,11,18,3,15,19,4,15,10,1,9,13,5,8,9,2,7,5,1,4,3,0,3,5,0,5,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.1082818098276,128.919399400888
화남면,"1,572",738,834,106,53,53,108,60,48,81,39,42,99,56,43,87,48,39,68,33,35,73,40,33,78,37,41,82,57,25,71,31,40,70,38,32,78,43,35,68,36,32,46,19,27,34,17,17,24,10,14,39,16,23,61,23,38,52,15,37,36,9,27,38,11,27,30,5,25,26,10,16,25,6,19,34,10,24,15,4,11,13,3,10,6,1,5,10,5,5,7,0,7,4,1,3,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0591434522819,128.889098827875
자양면,621,325,53,33,20,43,21,22,36,23,13,44,28,16,29,20,9,27,15,12,16,11,5,31,15,16,21,10,11,23,10,13,21,10,11,13,5,8,26,14,12,24,15,9,24,12,12,22,11,11,16,4,12,19,4,15,25,6,19,7,0,7,12,1,11,17,7,10,16,5,11,13,3,10,9,3,6,9,3,6,4,1,3,6,1,5,8,5,3,1,0,1,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36.0784383184432,129.018328670672
임고면,"2,077",951,"1,126",122,71,51,115,62,53,98,55,43,99,44,55,94,47,47,115,61,54,109,51,58,86,43,43,103,46,57,85,38,47,102,55,47,90,37,53,109,62,47,71,28,43,42,11,31,72,30,42,58,29,29,82,33,49,87,31,56,43,21,22,53,20,33,51,18,33,41,8,33,34,16,18,34,9,25,23,6,17,13,4,9,20,4,16,8,3,5,4,1,3,3,2,1,4,2,2,3,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0210730614784,128.973992156666
고경면,"2,321","1,102","1,219",143,84,59,137,83,54,107,59,48,125,70,55,137,76,61,138,75,63,96,42,54,115,57,58,126,71,55,92,44,48,91,47,44,88,46,42,102,50,52,70,32,38,57,29,28,57,27,30,69,24,45,101,45,56,83,32,51,71,22,49,55,18,37,51,15,36,31,10,21,35,11,24,36,10,26,30,9,21,28,7,21,20,2,18,12,1,11,8,2,6,6,1,5,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.0017402412321,129.045784057923
